YDL246C	SOR2	chrIV:8683-9756
tD(GUC)D	tD(GUC)D	chrIV:568964-569035
YDR275W	BSC2	chrIV:1012252-1012959
YDR043C	NRG1	chrIV:542674-543369
YDR129C	SAC6	chrIV:713340-715379
YDR136C	VPS61	chrIV:727711-728283
YDL066W	IDP1	chrIV:334835-336121
YDR302W	GPI11	chrIV:1067731-1068390
YDR239C	YDR239C	chrIV:941057-943420
YDR539W	FDC1	chrIV:1512094-1513605
tK(CUU)D1	tK(CUU)D1	chrIV:1201750-1201822
YDL125C	HNT1	chrIV:239019-239606
YDR493W	MZM1	chrIV:1436217-1436588
YDR101C	ARX1	chrIV:655686-657467
YDR182W-A	YDR182W-A	chrIV:829151-829354
YDR212W	TCP1	chrIV:887232-888911
YDR476C	YDR476C	chrIV:1410453-1411127
YDL131W	LYS21	chrIV:227393-228715
YDR458C	HEH2	chrIV:1380055-1382046
YDR081C	PDC2	chrIV:607304-610081
YDL071C	YDL071C	chrIV:330666-331040
YDR113C	PDS1	chrIV:680496-681617
YDR168W	CDC37	chrIV:790328-791848
YDR520C	URC2	chrIV:1481085-1483403
YDR307W	PMT7	chrIV:1075865-1077853
YDR265W	PEX10	chrIV:998864-999877
YDL076C	RXT3	chrIV:320668-321552
YDL006W	PTC1	chrIV:439909-440754
YDL086W	YDL086W	chrIV:301413-302234
YDR238C	SEC26	chrIV:937895-940816
YDR077W	SED1	chrIV:600793-601809
YDR381C-A	YDR381C-A	chrIV:1238312-1238850
YDL023C	YDL023C	chrIV:411761-412081
YDL083C	RPS16B	chrIV:306926-307789
YDR036C	EHD3	chrIV:523211-524713
YDR057W	YOS9	chrIV:565927-567555
YDR513W	GRX2	chrIV:1471017-1471448
YDR487C	RIB3	chrIV:1428354-1428980
YDR066C	RTR2	chrIV:581908-582498
YDR352W	YPQ2	chrIV:1181801-1182754
YDR278C	YDR278C	chrIV:1017001-1017318
YDR079C-A	TFB5	chrIV:603593-603811
YDR204W	COQ4	chrIV:858137-859144
YDL247W-A	YDL247W-A	chrIV:3762-3836
YDL024C	DIA3	chrIV:408451-409857
tA(AGC)D	tA(AGC)D	chrIV:410379-410451
YDR109C	YDR109C	chrIV:673520-675667
YDR466W	PKH3	chrIV:1395121-1397817
YDR427W	RPN9	chrIV:1322205-1323386
YDL044C	MTF2	chrIV:373967-375289
YDL079C	MRK1	chrIV:312951-314748
YDR193W	YDR193W	chrIV:844554-844952
YDR305C	HNT2	chrIV:1072746-1073488
YDR377W	ATP17	chrIV:1228611-1228916
YDR219C	MFB1	chrIV:905455-906852
YDR416W	SYF1	chrIV:1298432-1301011
YDR365C	ESF1	chrIV:1204497-1206383
YDL233W	MFG1	chrIV:36797-38173
YDR287W	INM2	chrIV:1035995-1036873
YDR448W	ADA2	chrIV:1356065-1357369
YDR180W	SCC2	chrIV:821295-825776
tF(GAA)D	tF(GAA)D	chrIV:1095370-1095461
tT(AGU)D	tT(AGU)D	chrIV:434264-434336
YDR294C	DPL1	chrIV:1050459-1052228
YDR198C	RKM2	chrIV:852533-853972
YDL163W	YDL163W	chrIV:166956-167258
YDL119C	HEM25	chrIV:246689-247612
YDR501W	PLM2	chrIV:1451353-1452918
YDL214C	PRR2	chrIV:74446-76545
YDR264C	AKR1	chrIV:996029-998323
YDR343C	HXT6	chrIV:1159608-1161320
YDR373W	FRQ1	chrIV:1222759-1223331
YDR354W	TRP4	chrIV:1184747-1185889
YDR246W	TRS23	chrIV:954288-954947
YDR428C	BNA7	chrIV:1323454-1324239
YDR157W	YDR157W	chrIV:769931-770332
YDR316W	OMS1	chrIV:1093763-1095178
YDL142C	CRD1	chrIV:201719-202570
YDR253C	MET32	chrIV:963990-964565
YDL112W	TRM3	chrIV:258915-263225
YDR545W	YRF1-1	chrIV:1526321-1531711
YDL187C	YDL187C	chrIV:125509-125838
YDL138W	RGT2	chrIV:213351-215642
YDR528W	HLR1	chrIV:1494586-1495857
YDR284C	DPP1	chrIV:1030550-1031419
YDR050C	TPI1	chrIV:555726-556472
YDL010W	GRX6	chrIV:432330-433025
YDL065C	PEX19	chrIV:336249-337277
YDR349C	YPS7	chrIV:1172386-1174176
YDL098C	SNU23	chrIV:284581-285165
YDL234C	GYP7	chrIV:34237-36477
YDR118W	APC4	chrIV:685882-687840
YDR118W-A	YDR118W-A	chrIV:687768-687884
YDR159W	SAC3	chrIV:771877-775782
YDR111C	ALT2	chrIV:678241-679764
YDR128W	MTC5	chrIV:709549-712995
YDL034W	YDL034W	chrIV:391783-392127
YDR065W	RRG1	chrIV:580687-581784
YDL004W	ATP16	chrIV:443029-443511
YDR024W	FYV1	chrIV:491017-491502
YDL171C	GLT1	chrIV:149203-155640
YDR083W	RRP8	chrIV:612073-613251
YDR457W	TOM1	chrIV:1369790-1379596
YDR014W	RAD61	chrIV:474046-475989
YDR206W	EBS1	chrIV:862054-864708
YDR478W	SNM1	chrIV:1414575-1415171
YDR169C	STB3	chrIV:792348-793889
YDR115W	MRX14	chrIV:682175-682492
YDL159W-A	YDL159W-A	chrIV:172182-172313
YDL232W	OST4	chrIV:38487-38597
YDL240C-A	YDL240C-A	chrIV:22471-22608
tE(CUC)D	tE(CUC)D	chrIV:1017207-1017278
YDL152W	YDL152W	chrIV:182822-183187
YDR432W	NPL3	chrIV:1328783-1330027
YDL022C-A	YDL022C-A	chrIV:409808-410056
YDL114W-A	YDL114W-A	chrIV:254935-255048
YDR410C	STE14	chrIV:1292372-1293091
YDR464C-A	YDR464C-A	chrIV:1392492-1392680
YDL072C	YET3	chrIV:329836-330447
YDR053W	YDR053W	chrIV:560249-560644
YDL012C	YDL012C	chrIV:431108-431517
YDR482C	CWC21	chrIV:1420431-1420838
YDL070W	BDF2	chrIV:331024-332940
YDR064W	RPS13	chrIV:579458-580452
YDL135C	RDI1	chrIV:218680-219288
YDL077C	VAM6	chrIV:316971-320120
YDR354C-A	YDR354C-A	chrIV:1185139-1185282
YDL033C	SLM3	chrIV:392659-393912
YDL031W	DBP10	chrIV:394217-397204
YDR398W	UTP5	chrIV:1267471-1269402
YDR326C	YSP2	chrIV:1120609-1124925
YDL052C	SLC1	chrIV:362672-363583
YDR536W	STL1	chrIV:1508005-1509714
YDR397C	NCB2	chrIV:1266366-1266898
YDL116W	NUP84	chrIV:251566-253746
YDR028C	REG1	chrIV:497835-500879
YDL007W	RPT2	chrIV:438047-439360
YDR236C	FMN1	chrIV:935236-935892
YDR011W	SNQ2	chrIV:465919-470424
YDR155C	CPR1	chrIV:768512-769000
YDR414C	ERD1	chrIV:1295598-1296686
YDR026C	NSI1	chrIV:492556-494268
YDL073W	AHK1	chrIV:326613-329567
tY(GUA)D	SUP2	chrIV:946312-946400
YDL115C	IWR1	chrIV:253995-255126
YDL145C	COP1	chrIV:194571-198176
YDR203W	YDR203W	chrIV:857682-857999
YDL104C	QRI7	chrIV:273653-274876
YDL149W	ATG9	chrIV:184925-187918
YDR231C	COX20	chrIV:926293-926910
YDR045C	RPC11	chrIV:547978-548310
YDL075W	RPL31A	chrIV:322226-322988
YDR415C	YDR415C	chrIV:1297037-1298161
YDR339C	FCF1	chrIV:1149951-1150520
YDL213C	NOP6	chrIV:77289-77966
YDR096W	GIS1	chrIV:637139-639823
YDL019C	OSH2	chrIV:417663-421514
YDL022W	GPD1	chrIV:411825-413000
YDR413C	YDR413C	chrIV:1294836-1295411
YDR391C	YDR391C	chrIV:1257358-1258056
YDR091C	RLI1	chrIV:626708-628534
YDR240C	SNU56	chrIV:943674-945152
YDL244W	THI13	chrIV:16204-17226
YDR179C	CSN9	chrIV:818708-819196
YDL165W	CDC36	chrIV:164290-164865
YDL140C	RPO21	chrIV:205360-210561
YDR120C	TRM1	chrIV:691549-693261
YDR003W	RCR2	chrIV:454122-454754
YDR499W	LCD1	chrIV:1447830-1450073
YDR166C	SEC5	chrIV:786306-789221
YDL092W	SRP14	chrIV:292781-293221
YDL041W	YDL041W	chrIV:378102-378455
YDL241W	YDL241W	chrIV:20635-21006
YDL082W	RPL13A	chrIV:308424-309388
YDR277C	MTH1	chrIV:1014401-1015702
YDR291W	HRQ1	chrIV:1039728-1042961
YDR475C	JIP4	chrIV:1407464-1410094
YDR244W	PEX5	chrIV:950563-952401
YDR407C	TRS120	chrIV:1284069-1287938
YDR382W	RPP2B	chrIV:1239492-1239824
YDR102C	YDR102C	chrIV:657648-657980
YDL188C	PPH22	chrIV:123865-124998
YDR405W	MRP20	chrIV:1277646-1278437
YDR443C	SSN2	chrIV:1345676-1349938
YDR059C	UBC5	chrIV:569234-569770
YDR144C	MKC7	chrIV:744311-746101
YDL157C	YDL157C	chrIV:174232-174588
YDL058W	USO1	chrIV:345665-351037
YDL096C	OPI6	chrIV:286998-287324
YDL155W	CLB3	chrIV:176773-178056
YDR147W	EKI1	chrIV:751631-753235
YDL191W	RPL35A	chrIV:117664-118517
YDL128W	VCX1	chrIV:232652-233887
YDR310C	SUM1	chrIV:1081128-1084316
YDL160C-A	MHF2	chrIV:169366-169608
YDR127W	ARO1	chrIV:704484-709250
YDR497C	ITR1	chrIV:1443713-1445467
YDL162C	YDL162C	chrIV:167359-167715
tS(AGA)D3	tS(AGA)D3	chrIV:1305630-1305712
YDR201W	SPC19	chrIV:856317-856814
YDR163W	CWC15	chrIV:781423-781950
YDL146W	LDB17	chrIV:192750-194225
YDR363W-A	SEM1	chrIV:1202128-1202397
YDL221W	YDL221W	chrIV:62011-62562
YDL089W	NUR1	chrIV:296820-298274
YDR385W	EFT2	chrIV:1243230-1245758
YDR331W	GPI8	chrIV:1129588-1130823
YDR196C	CAB5	chrIV:850274-850999
YDR116C	MRPL1	chrIV:682724-683581
YDR001C	NTH1	chrIV:450220-452475
YDL230W	PTP1	chrIV:42700-43707
YDR160W	SSY1	chrIV:776163-778721
YDR123C	INO2	chrIV:698554-699468
YDR322W	MRPL35	chrIV:1110589-1111692
YDR040C	ENA1	chrIV:535192-538467
YDR025W	RPS11A	chrIV:491515-492324
YDR046C	BAP3	chrIV:548762-550576
YDL057W	YDL057W	chrIV:351434-352420
YDL248W	COS7	chrIV:1802-2953
YDR008C	YDR008C	chrIV:462252-462602
YDR029W	YDR029W	chrIV:501100-501414
YDR485C	VPS72	chrIV:1424820-1427207
YDR408C	ADE8	chrIV:1288215-1288859
YDR038C	ENA5	chrIV:527422-530697
YDL204W	RTN2	chrIV:94605-95786
YDR019C	GCV1	chrIV:484163-485365
YDR477W	SNF1	chrIV:1412373-1414274
YDR254W	CHL4	chrIV:965113-966489
YDR514C	YDR514C	chrIV:1471548-1472999
YDR296W	MHR1	chrIV:1055212-1055892
YDL216C	RRI1	chrIV:68997-70319
YDL100C	GET3	chrIV:282112-283176
YDL068W	YDL068W	chrIV:333500-333829
YDL026W	YDL026W	chrIV:404749-405060
YDL124W	YDL124W	chrIV:240259-241197
YDL227C	HO	chrIV:46271-48031
YDL111C	RRP42	chrIV:263313-264110
YDR324C	UTP4	chrIV:1114433-1116763
YDL170W	UGA3	chrIV:156318-157904
YDR317W	HIM1	chrIV:1102184-1103428
YDR436W	PPZ2	chrIV:1334821-1336953
YDR208W	MSS4	chrIV:868224-870563
YDR386W	MUS81	chrIV:1246084-1247982
YDR504C	SPG3	chrIV:1456311-1456694
YDL220C	CDC13	chrIV:62244-65018
YDR396W	YDR396W	chrIV:1266295-1266795
YDR258C	HSP78	chrIV:971808-974243
YDR176W	NGG1	chrIV:814452-816560
YDL099W	BUG1	chrIV:283419-284444
YDR380W	ARO10	chrIV:1234218-1236125
YDL110C	TMA17	chrIV:264512-264964
YDR148C	KGD2	chrIV:753675-755066
YDL201W	TRM8	chrIV:99561-100421
YDL107W	MSS2	chrIV:268921-269976
YDR515W	SLF1	chrIV:1473429-1474772
YDR133C	YDR133C	chrIV:720962-721297
YDR378C	LSM6	chrIV:1229349-1229609
YDR473C	PRP3	chrIV:1404445-1405854
YDR403W	DIT1	chrIV:1274602-1276212
YDR268W	MSW1	chrIV:1004004-1005143
YDR409W	SIZ1	chrIV:1289406-1292120
YDR173C	ARG82	chrIV:810565-811632
YDR187C	YDR187C	chrIV:836228-836746
YDR389W	SAC7	chrIV:1252537-1254501
YDR417C	YDR417C	chrIV:1301555-1301926
YDR165W	TRM82	chrIV:784871-786205
YDL113C	ATG20	chrIV:256633-258555
YDR426C	YDR426C	chrIV:1321629-1322006
YDR521W	YDR521W	chrIV:1483141-1483476
YDR086C	SSS1	chrIV:616928-617170
YDL021W	GPM2	chrIV:413953-414888
YDR023W	SES1	chrIV:489508-490896
YDR394W	RPT3	chrIV:1261681-1262967
YDR320C-A	DAD4	chrIV:1108280-1108498
YDR003W-A	YDR003W-A	chrIV:454782-454904
YDR183W	PLP1	chrIV:829585-830277
YDR245W	MNN10	chrIV:952800-953981
YDR431W	YDR431W	chrIV:1328390-1328701
YDL154W	MSH5	chrIV:178334-181039
YDL184C	RPL41A	chrIV:130407-130484
YDR153C	ENT5	chrIV:766736-767971
YDR014W-A	HED1	chrIV:477797-478285
YDR434W	GPI17	chrIV:1331237-1332841
YDL002C	NHP10	chrIV:446967-447578
YDR225W	HTA1	chrIV:915530-915928
YDR418W	RPL12B	chrIV:1301616-1302113
YDR224C	HTB1	chrIV:914317-914712
YDR502C	SAM2	chrIV:1453310-1454464
YDR447C	RPS17B	chrIV:1354829-1355553
YDL039C	PRM7	chrIV:381985-384081
YDL225W	SHS1	chrIV:52445-54100
YDR259C	YAP6	chrIV:974631-975782
YDR495C	VPS3	chrIV:1438115-1441150
YDL151C	BUD30	chrIV:183318-183899
YDR357C	CNL1	chrIV:1189199-1189567
YDR370C	DXO1	chrIV:1217782-1219110
YDR298C	ATP5	chrIV:1058176-1058814
YDR276C	PMP3	chrIV:1013476-1013643
YDL185C-A	YDL185C-A	chrIV:126608-126835
YDR545C-A	YDR545C-A	chrIV:1530863-1531342
tM(CAU)D	EMT1	chrIV:1175829-1175901
YDL247W	MPH2	chrIV:5985-7814
YDR406W	PDR15	chrIV:1279210-1283799
YDR273W	DON1	chrIV:1010176-1011273
YDR269C	YDR269C	chrIV:1005665-1005988
YDR453C	TSA2	chrIV:1365072-1365662
YDR383C	NKP1	chrIV:1239960-1240676
YDR375C	BCS1	chrIV:1225166-1226536
YDL161W	ENT1	chrIV:167714-169078
YDL051W	LHP1	chrIV:363952-364779
YDR084C	TVP23	chrIV:613405-614004
YDL056W	MBP1	chrIV:352877-355378
YDR344C	YDR344C	chrIV:1162006-1162449
YDR320C	SWA2	chrIV:1106095-1108101
YDR221W	GTB1	chrIV:907330-909438
tI(AAU)D	tI(AAU)D	chrIV:668007-668080
YDL032W	YDL032W	chrIV:393690-394001
YDR456W	NHX1	chrIV:1367485-1369386
YDL036C	PUS9	chrIV:387513-388901
tL(CAA)D	tL(CAA)D	chrIV:1461715-1461829
YDL217C	TIM22	chrIV:67983-68606
snR63	snR63	chrIV:323217-323471
YDR334W	SWR1	chrIV:1135932-1140476
YDL049C	KNH1	chrIV:365068-365874
YDL164C	CDC9	chrIV:164987-167254
YDR384C	ATO3	chrIV:1241204-1242031
YDR149C	YDR149C	chrIV:755555-756262
YDR093W	DNF2	chrIV:631282-636120
YDR071C	PAA1	chrIV:588827-589402
YDL143W	CCT4	chrIV:199996-201582
YDR032C	PST2	chrIV:504099-504695
tR(UCU)D	tR(UCU)D	chrIV:568882-568953
YDR063W	AIM7	chrIV:578663-579112
YDL166C	FAP7	chrIV:163449-164042
YDR004W	RAD57	chrIV:455201-456583
YDR151C	CTH1	chrIV:764178-765155
YDR037W	KRS1	chrIV:525440-527215
YDL175C	AIR2	chrIV:144484-145518
YDR286C	YDR286C	chrIV:1035231-1035575
YDR172W	SUP35	chrIV:808324-810381
YDL174C	DLD1	chrIV:145826-147589
YDR080W	VPS41	chrIV:604008-606986
YDR503C	LPP1	chrIV:1455042-1455866
YDR069C	DOA4	chrIV:584939-587719
YDR047W	HEM12	chrIV:551860-552948
YDR215C	YDR215C	chrIV:894089-894502
YDR267C	CIA1	chrIV:1002510-1003502
YDR142C	PEX7	chrIV:740473-741600
YDL212W	SHR3	chrIV:78426-79058
YDR249C	YDR249C	chrIV:958681-959802
YDL209C	CWC2	chrIV:86207-87226
YDR044W	HEM13	chrIV:546642-547628
tK(UUU)D	tK(UUU)D	chrIV:359577-359672
YDR311W	TFB1	chrIV:1085065-1086993
YDL159C-B	YDL159C-B	chrIV:173056-173232
YDR222W	YDR222W	chrIV:910054-911301
YDR510C-A	YDR510C-A	chrIV:1469695-1469811
YDR401W	YDR401W	chrIV:1272223-1272786
YDR207C	UME6	chrIV:865012-867522
YDL005C	MED2	chrIV:441014-442309
YDR295C	HDA2	chrIV:1052623-1054647
YDR543C	YDR543C	chrIV:1524634-1524933
YDL208W	NHP2	chrIV:87512-87982
YDR135C	YCF1	chrIV:723004-727551
YDL114W	YDL114W	chrIV:255604-256530
YDR247W	VHS1	chrIV:956013-957398
YDL197C	ASF2	chrIV:104917-106494
YDR229W	IVY1	chrIV:924785-926146
YDR095C	YDR095C	chrIV:636117-636527
YDR027C	VPS54	chrIV:494649-497318
YDL106C	PHO2	chrIV:270222-271901
YDR404C	RPB7	chrIV:1276654-1277169
YDR256C	CTA1	chrIV:968133-969680
YDR518W	EUG1	chrIV:1478608-1480161
YDR055W	PST1	chrIV:563527-564861
YDL087C	LUC7	chrIV:300214-300999
YDR177W	UBC1	chrIV:816878-817525
YDL014W	NOP1	chrIV:427364-428347
YDR289C	RTT103	chrIV:1038280-1039509
YDL159W	STE7	chrIV:172481-174028
YDR532C	KRE28	chrIV:1499396-1500553
YDR137W	RGP1	chrIV:728259-730250
YDL153C	SAS10	chrIV:181186-183018
YDR393W	SHE9	chrIV:1259901-1261271
YDR506C	GMC1	chrIV:1459728-1461554
YDL219W	DTD1	chrIV:65242-65765
YDL090C	RAM1	chrIV:295034-296329
YDR033W	MRH1	chrIV:508147-509109
YDR035W	ARO3	chrIV:521816-522928
YDR332W	IRC3	chrIV:1131001-1133070
YDR510W	SMT3	chrIV:1469400-1469705
YDL055C	PSA1	chrIV:355674-356759
YDR480W	DIG2	chrIV:1417399-1418370
YDL103C	QRI1	chrIV:275148-276581
YDL085C-A	YDL085C-A	chrIV:302464-302670
YDR350C	ATP22	chrIV:1176120-1178174
YDR342C	HXT7	chrIV:1154216-1155928
YDR087C	RRP1	chrIV:617470-618306
YDL236W	PHO13	chrIV:32296-33234
YDR012W	RPL4B	chrIV:471853-472941
YDL121C	YDL121C	chrIV:245133-245582
YDR525W-A	SNA2	chrIV:1490596-1490835
tG(GCC)D2	tG(GCC)D2	chrIV:992832-992902
YDL190C	UFD2	chrIV:118707-121592
YDL047W	SIT4	chrIV:369771-370706
YDR099W	BMH2	chrIV:653607-654428
YDR092W	UBC13	chrIV:629876-630605
YDR164C	SEC1	chrIV:782041-784215
YDR058C	TGL2	chrIV:567723-568703
YDL020C	RPN4	chrIV:415113-416708
YDL025C	RTK1	chrIV:405344-407206
YDR374C	PHO92	chrIV:1223474-1224394
YDL207W	GLE1	chrIV:88248-89864
YDR270W	CCC2	chrIV:1005675-1008689
YDR152W	GIR2	chrIV:765706-766503
YDL148C	NOP14	chrIV:188154-190586
tI(UAU)D	tI(UAU)D	chrIV:884361-884493
YDR379C-A	SDH6	chrIV:1233278-1233517
YDR218C	SPR28	chrIV:903781-905052
YDL018C	ERP3	chrIV:422833-423510
YDR507C	GIN4	chrIV:1462358-1465786
YDL003W	MCD1	chrIV:444683-446383
YDR524C-B	YDR524C-B	chrIV:1489598-1489798
YDR371W	CTS2	chrIV:1219413-1220948
YDR359C	EAF1	chrIV:1191936-1194884
YDL180W	YDL180W	chrIV:135896-137539
YDL133W	SRF1	chrIV:222427-223740
YDR335W	MSN5	chrIV:1141168-1144842
YDR351W	SBE2	chrIV:1178666-1181260
YDL150W	RPC53	chrIV:183343-184611
YDL177C	YDL177C	chrIV:141209-141721
YDR171W	HSP42	chrIV:806621-807748
YDR364C	CDC40	chrIV:1202843-1204210
YDR309C	GIC2	chrIV:1079048-1080199
YDL239C	ADY3	chrIV:26403-28775
YDL228C	YDL228C	chrIV:45277-45918
YDL156W	CMR1	chrIV:174918-176486
YDL016C	YDL016C	chrIV:425570-425872
tX(XXX)D	tX(XXX)D	chrIV:1150842-1150941
YDR524W-C	YDR524W-C	chrIV:1489403-1489492
YDL085W	NDE2	chrIV:303211-304848
YDR300C	PRO1	chrIV:1061505-1062791
YDL168W	SFA1	chrIV:159604-160764
YDR360W	OPI7	chrIV:1194598-1195032
YDR195W	REF2	chrIV:848599-850200
YDR321W	ASP1	chrIV:1108702-1109847
YDR237W	MRPL7	chrIV:936615-937493
YDL127W	PCL2	chrIV:234927-235853
YDR107C	TMN2	chrIV:669016-671034
YDR472W	TRS31	chrIV:1403322-1404173
YDL030W	PRP9	chrIV:397537-399129
YDR468C	TLG1	chrIV:1398026-1398700
YDL084W	SUB2	chrIV:305237-306577
YDL203C	ACK1	chrIV:96082-97953
YDL025W-A	YDL025W-A	chrIV:405410-405514
YDR285W	ZIP1	chrIV:1032436-1035063
YDL229W	SSB1	chrIV:44065-45906
YDR329C	PEX3	chrIV:1126270-1127595
YDR034C	LYS14	chrIV:509737-512109
YDR009W	GAL3	chrIV:463434-464996
tS(AGA)D2	tS(AGA)D2	chrIV:980974-981055
YDR488C	PAC11	chrIV:1429188-1430789
YDR103W	STE5	chrIV:658350-661103
YDR336W	MRX8	chrIV:1145092-1146036
YDL101C	DUN1	chrIV:280307-281848
YDR162C	NBP2	chrIV:780390-781100
YDR312W	SSF2	chrIV:1087581-1088942
YDL061C	RPS29B	chrIV:340628-340798
YDL040C	NAT1	chrIV:378874-381438
YDR145W	TAF12	chrIV:746738-748357
YDR124W	YDR124W	chrIV:700315-701289
YDL231C	BRE4	chrIV:38867-42244
YDR190C	RVB1	chrIV:840604-841995
YDL064W	UBC9	chrIV:337487-338070
YDR463W	STP1	chrIV:1386816-1388375
YDR491C	YDR491C	chrIV:1434500-1434991
YDR449C	UTP6	chrIV:1357580-1358902
YDL035C	GPR1	chrIV:389172-392057
YDR074W	TPS2	chrIV:593893-596583
YDR525W	API2	chrIV:1489905-1490234
YDR257C	RKM4	chrIV:969990-971474
YDR402C	DIT2	chrIV:1272234-1273703
YDR450W	RPS18A	chrIV:1359923-1360798
YDR376W	ARH1	chrIV:1226822-1228303
YDR161W	ACL4	chrIV:779043-780206
YDR090C	YDR090C	chrIV:625066-625998
YDR189W	SLY1	chrIV:838392-840392
YDR524C	AGE1	chrIV:1487542-1488990
YDL237W	AIM6	chrIV:30657-31829
YDR188W	CCT6	chrIV:836421-838061
YDL133C-A	RPL41B	chrIV:221724-221801
YDR531W	CAB1	chrIV:1498232-1499335
tG(GCC)D1	tG(GCC)D1	chrIV:83548-83618
YDR226W	ADK1	chrIV:916486-917154
YDL054C	MCH1	chrIV:359825-361285
YDL205C	HEM3	chrIV:92762-93745
YDR537C	YDR537C	chrIV:1510856-1511461
YDR496C	PUF6	chrIV:1441433-1443403
YDR313C	PIB1	chrIV:1089219-1090079
YDL108W	KIN28	chrIV:267698-268699
tV(CAC)D	tV(CAC)D	chrIV:1075472-1075544
YDR340W	YDR340W	chrIV:1150881-1151183
YDL147W	RPN5	chrIV:190924-192261
YDL081C	RPP1A	chrIV:309802-310122
YDR283C	GCN2	chrIV:1025070-1030049
YDR261C	EXG2	chrIV:977521-979209
YDL211C	YDL211C	chrIV:79294-80412
YDL074C	BRE1	chrIV:324047-326149
YDL091C	UBX3	chrIV:293392-294759
YDR346C	SVF1	chrIV:1167214-1168659
YDR072C	IPT1	chrIV:589761-591344
YDR242W	AMD2	chrIV:946807-948456
YDR323C	PEP7	chrIV:1112480-1114027
YDR486C	VPS60	chrIV:1427431-1428120
YDR420W	HKR1	chrIV:1306267-1311675
YDL122W	UBP1	chrIV:242552-244981
YDR390C	UBA2	chrIV:1254937-1256847
YDR481C	PHO8	chrIV:1418550-1420250
YDR318W	MCM21	chrIV:1103758-1104947
